"
Results for DataSet1:
"
"(1, 13)"
"(2, 13)"
"(3, 2)"
"(4, 17)"
"(5, 17)"
"(6, 11)"
"(7, 23)"
"(8, 22)"
"(9, 13)"
"(10, 2)"
"(11, 9)"
"(12, 2)"
"(13, 8)"
"(14, 2)"
"(15, 10)"
"(16, 17)"
"(17, 8)"
"(18, 2)"
"(19, 0)"
"(20, 6)"
"(21, 0)"
"(22, 9)"
"(23, 17)"
"(24, 8)"
"(25, 17)"
"(26, 10)"
"(27, 8)"
"(28, 10)"
"(29, 6)"
"(30, 14)"
"(31, 10)"
"(32, 10)"
"(33, 14)"
"(34, 10)"
"(35, 10)"
"(36, 14)"
"(37, 8)"
"(38, 15)"
"(39, 14)"
"(40, 16)"
"(41, 10)"
"(42, 13)"
"(43, 13)"
"(44, 10)"
"(45, 10)"
"(46, 10)"
"(47, 14)"
"(48, 24)"
"(49, 0)"
"(50, 7)"
"(51, 8)"
"(52, 10)"
"(53, 13)"
"(54, 14)"
"(55, 14)"
"(56, 0)"
"(57, 9)"
"(58, 17)"
"(59, 14)"
"(60, 13)"
"(61, 2)"
"(62, 11)"
"(63, 13)"
"(64, 0)"
"(65, 6)"
"(66, 6)"
"(67, 14)"
"(68, 12)"
"(69, 13)"
"(70, 13)"
"(71, 22)"
"(72, 13)"
"(73, 8)"
"(74, 10)"
"(75, 6)"
"(76, 10)"
"(77, 17)"
"(78, 6)"
"
Performance Metrics for DataSet1:
"
,precision,recall,f1-score,support
0,0.8,1.0,0.888888888888889,4.0
1,0.0,0.0,0.0,2.0
2,0.6666666666666666,1.0,0.8,4.0
3,0.0,0.0,0.0,3.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,2.0
6,0.5,0.75,0.6,4.0
7,1.0,0.3333333333333333,0.5,3.0
8,0.375,1.0,0.5454545454545454,3.0
9,0.6666666666666666,0.5,0.5714285714285715,4.0
10,0.21428571428571427,1.0,0.35294117647058826,3.0
11,1.0,0.5,0.6666666666666666,4.0
12,1.0,0.3333333333333333,0.5,3.0
13,0.2727272727272727,0.75,0.39999999999999997,4.0
14,0.3333333333333333,1.0,0.5,3.0
15,1.0,0.3333333333333333,0.5,3.0
16,1.0,0.3333333333333333,0.5,3.0
17,0.42857142857142855,0.75,0.5454545454545454,4.0
18,0.0,0.0,0.0,3.0
19,0.0,0.0,0.0,2.0
20,0.0,0.0,0.0,3.0
21,0.0,0.0,0.0,3.0
22,1.0,0.6666666666666666,0.8,3.0
23,1.0,0.5,0.6666666666666666,2.0
24,1.0,0.3333333333333333,0.5,3.0
25,0.0,0.0,0.0,3.0
accuracy,0.4810126582278481,0.4810126582278481,0.4810126582278481,0.4810126582278481
macro avg,0.4714327339327339,0.4262820512820513,0.37836542542424895,79.0
weighted avg,0.5076757630555099,0.4810126582278481,0.4217503188463725,79.0
